ID,Fecha,Provincia,Cantón,Cobertura,Tipo de Protesta,Sub Tipo de Protesta,Actor,Tipo de Actor,Sub Tipo de Actor,Demanda,Tipo de Demanda,Sub Tipo de Demanda,Entidad,Tipo de Entidad,Resolución,Alianza,Clase,Represión,Resumen,Noticias
480,2015-07-07,NA,NA,Nacional,Denuncia ante entidades nacionales y/o entidades internacionales,NA,Fenacootaxi R.L,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector privado,Presentar propuesta de fijación tarifaria,Fiscalización de la función pública y rendición de cuentas,Pronunciamiento o rectificación de posición oficial,ARESEP,Entidades de regulación,No diálogo,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"En el marco de la audiencia que se realizará el 4 de agosto en la ARESEP para la fijación tarifaria del servicio de taxi, la Federación Nacional de Cooperativas de Taxi R.L. (Fenacootaxi R.L.) presenta a la ARESEP una propuesta para que la fijación tarifaria se apruebe como una tarifa única, sin distinguir el tipo de vehículo ni la zona del servicio. La Fenaoctaxi R.L. afirma que ""esta iniciativa conlleva el análisis y soluciones propuestas para beneficiar la sociedad en su conjunto y de economizar los fondos que pueden ser utilizados en la mejora de la calidad de vida de los ciudadanos, en un ambiente de equidad y de igualdad de oportunidades”.
",La Extra: TAXISTAS BUSCAN TARIFA ÚNICA (2015-07-07)
481,2015-07-07,San José,Montes de Oca,Nacional,Declaración pública,Convocatoria,Grupos de mujeres,Grupos y/u organizaciones de género y/o feministas,NA,"Exigir al Ministerio Público un trato igualitario en relación al  proceso judicial contra el exdiputado Justo Orozco,",Fiscalización de la función pública y rendición de cuentas,"Lucha por la justicia, contra la impunidad y contra la criminalización de la protesta social",Poder Judicial,Poder Judicial,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Organizaciones y agrupaciones feministas convocan para este próximo viernes a la “Marcha de la Justicia Divina, ni un (in) Justo más”, para exigir al Ministerio Público un trato igualitario en relación al  proceso judicial contra el exdiputado Justo Orozco, por dos denuncias de abuso sexual presentadas en su contra. La marcha se realizará a las 5 de la tarde desde el parque Central hacia el Ministerio Público en el centro de la capital.
",CR Hoy: ORGANIZACIONES MARCHAN PARA EXIGIR JUSTICIA EN EL CASO DE JUSTO OROZCO (2015-07-10)
482,2015-07-06,San José,Aserrí,Local,Reunión con autoridades,NA,Vecinas y vecinos de Aserrí,Grupos de vecinos y vecinas,NA,Exigir agua potable,"Mejora y/o defensa en el acceso, calidad y costo de los servicios públicos","Mejora y/o defensa en el acceso, calidad y costo de los servicios de agua potable",Municipalidad de Aserrí,Municipalidad en general,Acuerdo tras negociación,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"A raíz de la marcha organizada por las y los vecinos de Aserrí, se da una reunión de negociación entre este grupo con la Municipalidad del lugar, donde se acuerda una serie de acciones para el mejoramiento y la protección de mantos acuíferos y nacientes de la zona. Flor del Carmen Garro, una de las manifestantes, señala que se acuerda formalizar las promesas de protección y mejoramiento del recurso hídrico el próximo lunes.

","La Extra: ASERRICEÑOS ENJACHAN POR LA CALIDAD DEL AGUA (2015-07-07), CR Hoy: VECINOS DE ASERRÍ SE CONCENTRAN FRENTE A LA MUNICIPALIDAD (2015-07-06)"
483,2015-07-07,NA,NA,Nacional,Declaración pública,Pronunciamiento,Organización American Stanford Costa Rica,Grupos y/u organizaciones ambientalistas,NA,"Rechazar la campaña “No se olvide de mí”, emprendida por el PANI.",Defensa del ambiente,Defensa de los animales,PANI,Instituciones descentralizadas y/o autónomas,No registrado,Participación conjunta,Particular,No registrado o no existencia,"La Organización American Stanford Costa Rica rechaza la campaña “No se olvide de mí”, emprendida por el PANI, en donde se muestra la imagen de un perro a la par de un niño, como medida contra los recientes casos de menores mordidos por perros. Por esta razón propone que se cambie la campaña a  “Gracias por no dejarme cerca de perros peligrosos u otros animales”. La organización indica que esta campaña es prejuiciosa y desinformada sobre el tema de los animales domésticos violentos, trasladando la responsabilidad de los ataques a los animales y no a sus dueños.
 

",CR Hoy: ORGANIZACIÓN SUGIERE CAMBIO A ANUNCIO DEL PANI EN EL QUE PIDE ALEJAR A MENORES DE PERROS PELIGROSOS (2015-07-07)
484,2015-07-08,San José,San José,No registrada,Bloqueo,NA,Porteadores,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector privado,Contra la reducción en el número de permisos de SEETAXI.,Fiscalización de la función pública y rendición de cuentas,Pronunciamiento o rectificación de posición oficial,CTP  y Gobierno,Gobierno en general,No registrado,No registrada o no existencia de alianzas,Particular,Uso de fuerza policial,"Cientos de porteadores bloquean masivamente las principales vías de la GAM, principalmente la vía de circunvalación en Zapote, San José, como medida de protesta para que el CTP renueve los permisos del SEET en su totalidad, y no la mitad de los permisos tal como lo dispone el ente regulador. Los bloqueos se sostienen durante más de 12 horas, momento en donde la policía antimotín interviene la protesta. Los porteadores se trasladan hacia la Defensoría de los Habitantes para iniciar una negociación con el gobierno y anuncian que los bloqueos se mantienen hasta horas de la noche. El Ministerio de Seguridad Pública informa que  2.644 policías se encuentran monitoreando distintos puntos de bloqueos, ""para garantizar el libre tránsito, evitar incidentes y preservar el orden público"". Los bloqueos y el tortuguismo se realizan también fuera de la GAM, tal como en Grecia, Jacó, San Ramón, Alajuela, y otras vías de gran peso.","La Extra: PORTEADORES TOMAN ALREDEDORES DE ZAPOTE (2015-07-08), CR Hoy: “PORTEADORES”  LLEVAN PROTESTA A LA DEFENSORÍA DE LOS HABITANTES PARA VALORAR POSIBILIDAD DE DIÁLOGO (2015-07-08), CR Hoy: “PORTEADORES” MANTIENEN BLOQUEOS EN ROTONDAS Y VARIAS RUTAS (2015-07-08), CR Hoy: LUEGO DE 12 HORAS DE PROTESTA DE ""PORTEADORES"", ANTIMOTINES LLEGAN A ZAPOTE (2015-07-08), CR Hoy: “PORTEADORES”  PIDEN MEDIDA CAUTELAR QUE  SUSPENDA DECISIÓN DEL CTP DE RENOVAR MITAD DE LOS PERMISOS (2015-07-09), La Nación: GOBIERNO Y PORTEADORES FIRMAN ACUERDO PARA NO BLOQUEAR VÍAS MIENTRAS CONTINÚAN EL DIÁLOGO (2015-07-09), La Extra: SE DETIENEN BLOQUEOS DE PARTE DE SEETAXI (2015-07-09), La Extra: GOBIERNO Y PORTEADORES SE REÚNEN A NEGOCIAR  (2015-07-09)"
485,2015-07-08,San José,San José,No registrada,Reunión con autoridades,NA,Porteadores,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector privado,Contra la reducción en el número de permisos de SEETAXI.,Fiscalización de la función pública y rendición de cuentas,Solicitud de negociación,CTP  y Gobierno,Gobierno en general,No acuerdo tras negociación,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"En el marco de los bloqueos masivos de porteadores en distintos puntos de país, se inicia un diálogo entre este sector y representantes del gobierno en Casa Presidencial, en Zapote. No obstante, la negociación se rompe debido a que el grupo de porteadores sostiene las medidas de protesta. Por su parte, Ana Gabriel Zúñiga, viceministra de la Presidencia, declara que en la carretera Bernardo Soto se da un accidente de tránsito y que la emergencia no pudo ser atendida a tiempo, debido a las manifestaciones de los porteadores, culpabilizándoles de la muerte de una familia en este accidente. El presidente de la Cámara de SEETAXI, Byron Marcos, rechaza estas declaraciones  e indica que  “nosotros no hemos renunciado al diálogo, quien nos hizo echados de Casa Presidencial fue la señora viceministra, golpeó la mesa y nos dijo: 'Se rompe el acto. Ustedes acaban de violentar y hay dos muertos por culpa suya'. Yo no entiendo qué tienen que ver dos muertos con nosotros, que estamos acá”. Ante esta situación, los bloqueos se sostienen y se abre la posibilidad de una segunda mesa de diálogo en la Defensoría de los Habitantes, como mediadora en la negociación.

","La Extra: GOBIERNO Y PORTEADORES SE REÚNEN A NEGOCIAR  (2015-07-09), La Extra: SE DETIENEN BLOQUEOS DE PARTE DE SEETAXI (2015-07-09), La Nación: GOBIERNO Y PORTEADORES FIRMAN ACUERDO PARA NO BLOQUEAR VÍAS MIENTRAS CONTINÚAN EL DIÁLOGO (2015-07-09), CR Hoy: “PORTEADORES”  PIDEN MEDIDA CAUTELAR QUE  SUSPENDA DECISIÓN DEL CTP DE RENOVAR MITAD DE LOS PERMISOS (2015-07-09)"
486,2015-07-09,San José,San José,Nacional,Reunión con autoridades,NA,Porteadores,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector privado,Contra la reducción en el número de permisos de SEETAXI.,Fiscalización de la función pública y rendición de cuentas,Solicitud de negociación,CTP  y Gobierno,Gobierno en general,Acuerdo tras negociación,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Este día inicia el diálogo entre el gobierno y la junta directiva de la cámara de SEETAXI, con la mediación de la Defensoría de los Habitantes, para resolver el conflicto en torno a la reducción de 1821 permisos de SEETAXI. En la negociación se llega a un acuerdo donde las y los porteadores no efectuarán bloqueos mientras la Dirección Jurídica de Casa Presidencial realiza un estudio técnico sobre los criterios del CTP para reducir las placas del SEETAXI, para ante del 30 de julio.
","CR Hoy: “PORTEADORES”  PIDEN MEDIDA CAUTELAR QUE  SUSPENDA DECISIÓN DEL CTP DE RENOVAR MITAD DE LOS PERMISOS (2015-07-09), La Nación: GOBIERNO Y PORTEADORES FIRMAN ACUERDO PARA NO BLOQUEAR VÍAS MIENTRAS CONTINÚAN EL DIÁLOGO (2015-07-09), La Extra: SE DETIENEN BLOQUEOS DE PARTE DE SEETAXI (2015-07-09), La Extra: GOBIERNO Y PORTEADORES SE REÚNEN A NEGOCIAR  (2015-07-09)"
487,2015-07-09,San José,San José,Nacional,Denuncia ante entidades nacionales y/o entidades internacionales,NA,Porteadores,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector privado,Contra la reducción en el número de permisos de SEETAXI.,Fiscalización de la función pública y rendición de cuentas,Solicitud de negociación,CTP  y Gobierno,Gobierno en general,Se recibe la petición,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Porteadores presentan ante la junta directiva del Consejo de Transporte Público (CTP) un recurso de revocatoria ante la decisión de renovar sólo la mitad de los permisos de SEETAXI, así como una medida cautelar ante el Tribunal Administrativo de Transportes, para evitar que se sancionen a las y los conductores.



",CR Hoy: “PORTEADORES”  PIDEN MEDIDA CAUTELAR QUE  SUSPENDA DECISIÓN DEL CTP DE RENOVAR MITAD DE LOS PERMISOS (2015-07-09)
488,2015-07-08,NA,NA,Nacional,Declaración pública,Denuncia,UCCAEP,Grupos y/u organizaciones empresariales,Grupos y/u organizaciones empresariales del sector servicios,Rechazar que en el INA se impartan programas de “Economía Social Solidaria”,Fiscalización de la función pública y rendición de cuentas,Solicitud de información,INA,Instituciones descentralizadas y/o autónomas,Se recibe la petición,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"La UCCAEP  rechaza que en el INA se impartan programas de “Economía Social Solidaria”, debido que la junta directiva del Instituto Nacional de Aprendizaje (INA) no aprobó la creación de estos ni otorgó recursos presupuestarios. Ronald Jiménez, presidente de UCCAEP, menciona que “la misión y los objetivos del INA no deben ni pueden desviarse, menos en los momentos de alto desempleo que atraviesa Costa Rica. Cualquier cambio en los programas de la institución deberían enfocarse a capacitar personal técnico de mucho mejor calidad (...) por lo que cursos de Economía Social Solidaria o de cualquier otro tipo de teoría económica existente en el mundo están ajenos a los fines y funciones que legalmente le corresponden a la institución”. Por su parte, el Presidente del INA, Minor Rodríguez, señala que la economía social solidaria se incorpora por una solicitud del gobierno de Luis Guillermo Solís Rivera.

",CR Hoy: DENUNCIAN QUE DIRECTIVA DEL INA NO APROBÓ PROGRAMAS DE ECONOMÍA SOCIAL SOLIDARIA (2015-07-08)
489,2015-07-22,San José,San José,No registrada,Declaración pública,Amenaza,Representantes de porteadores,Grupos y/u organizaciones de trabajadores y trabajadoras,Grupos y/u organizaciones de trabajadores y trabajadoras del sector privado,Contra la reducción en el número de permisos de SEETAXI.,Fiscalización de la función pública y rendición de cuentas,Pronunciamiento o rectificación de posición oficial,CTP y MOPT,Ministerios,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Tras conocerse que el CTP continuó con el proceso de notificación a los concesionarios de placas SEETAXI, Monserrat Solano, defensora de los Habitantes, convoca a una reunión entre las partes para discutir el tema. Según informan varios medios de comunicación, el gobierno se había comprometido a detener dichas medidas mientras estudiaba las demandas de los exporteadores, los cuales se han mantenido protestando contra la reducción en el número de placas disponibles para este servicio especial. Luego de la reunión, los exporteadores anuncian la ruptura de diálogo, mientras la DH informa que no continuará mediando en el conflicto debido a la actuación gubernamental. En el caso de los exporteadores, el anuncio lo hacen durante una conferencia de prensa en la que también informan que durante la semana siguiente valorarán convocar a nuevas protestas en las calles. De acuerdo con uno de sus dirigentes, el gobierno incumplió el compromiso de no continuar con el proceso de notificación hasta no tener una decisión sobre el tema.","La Extra: SEETAXI CULPA AL GOBIERNO POR ROMPER DIÁLOG (2015-07-23), CR Hoy: MINISTRO DE SEGURIDAD: “NO SE PERMITIRÁN BLOQUEOS (…) EL ORDEN HAY QUE RESTAURARLO UTILIZANDO CUALQUIER MEDIO (2015-07-23), CR Hoy: DEFENSORÍA SE SALE DE NEGOCIACIÓN ENTRE “PORTEADORES” Y GOBIERNO POR ACTUACIONES DEL CTP (2015-07-22), CR Hoy: PORTEADORES VALORAN IR DE NUEVO A LAS CALLES; DIÁLOGO CON GOBIERNO SE ACABÓ (2015-07-22), La Extra: SEETAXI PODRÍA VOLVER A MANIFESTACIONES (2015-07-22), La Nación: DIRIGENTE DE PORTEADORES: 'EL GOBIERNO INCUMPLIÓ ACUERDOS Y NOS ESTÁ INCITANDO A LAS PROTESTAS' (2015-07-22)"
