ID,Fecha,Provincia,Cantón,Cobertura,Tipo de Protesta,Sub Tipo de Protesta,Actor,Tipo de Actor,Sub Tipo de Actor,Demanda,Tipo de Demanda,Sub Tipo de Demanda,Entidad,Tipo de Entidad,Resolución,Alianza,Clase,Represión,Resumen,Noticias
100,2015-02-17,NA,NA,No registrada,Declaración pública,Pronunciamiento,CICR,Grupos y/u organizaciones de empresarios y empresarias,Del sector industrial,Contra la solicitud de aumento en el precio de los combustibles.,"Mejora y/o defensa en el acceso, calidad y costo de los servicios públicos","Mejora y/o defensa en el acceso, calidad y costo de los servicios de otros servicios públicos",RECOPE,Instituciones descentralizadas y/o autónomas,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Mediante un nota de prensa, la CICR se manifiesta en contra de la reciente solicitud de aumento en el precio de los combustibles presentada por la RECOPE. Enrique Egloff, presidente de la CICR, critica que sólo cuando se trata de aumentos en el precio, la institución ""corre"" para solicitarlos, mientras tardó en pedir una reducción en los mismos durante los meses anteriores cuando el precio mundial se encontraba a la baja.",La Nación: INDUSTRIALES CRITICAN PETICIÓN DE RECOPE PARA ENCARECER COMBUSTIBLES (2015-02-17)
101,2015-02-17,Limón,Limón,Regional,Declaración pública,Pronunciamiento,ASEMECA,Grupos y/u organizaciones de empresarios y empresarias,Del sector servicios,Contra el desalojo del Mercado Central de Limón.,Defensa del trabajo y las condiciones laborales,NA,MINSA y Municipalidad de Limón,Ministerios,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Miembros de la ASEMECA se declaran en contra del desalojo del Mercado Central de Limón ordenado por el MINSA en días anteriores. La orden de desalojo emitida por dicho ministerio se haría efectiva el 24 de febrero, razón por la cual la ASEMECA ha iniciado un proceso para detenerlo. Junto con el desalojo, los ocupantes del mercado deberían trasladarse a un nuevo mercado, el cual, según denuncian, no cumple con las condiciones necesarias ni con los permisos respectivos, incluidos los del mismo MINSA. Asimismo, la ASEMECA responsabiliza a la Municipalidad de Limón de no asumir las mejoras en la infraestructura del actual mercado abierto en 1941.","La Nación: INQUILINOS DEL MERCADO DE LIMÓN PRESENTAN ACCIÓN LEGAL PARA EVITAR DESALOJO (2015-02-17), CR Hoy: SALUD CERRARÁ MERCADO DE LIMÓN, INQUILINOS PRESENTAN DEMANDA PARA EVITAR DESALOJO (2015-02-17)"
102,2015-02-16,Limón,Matina,Regional,Reunión con autoridades,NA,Seccional ANEP-Municipalidad de Matina y autoridades municipales,Grupos y/u organizaciones de trabajadores y trabajadoras,Del sector público,Cancelar salario escolar adeudado.,Defensa del trabajo y las condiciones laborales,Pago de salarios,Municipalidad de Matina,Municipalidad en general,Acuerdo tras negociación,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Continúa la huelga iniciada el día 13 de este mes, por las y los trabajadores de la Municipalidad de Matina, Limón. La manifestación reclama el pago del salario escolar. La ANEP ha solicitado la intervención del MTSS, mientras Elvis Lawson, alcalde de Matina, sostiene que mantienen una duda razonable sobre si proceder con el pago pues no consta que se realzará la retención del porcentaje correspondiente. Asimismo, agrega que la municipalidad se encuentra en crisis por lo que cualquier gasto podría generar la quiebra. En horas de la tarde, se logra un acuerdo con el cual la municipalidad se compromete con el pago del salario escolar antes del 27 de febrero.","CR Hoy: PROBLEMAS CON EL PAGO DE SALARIO ESCOLAR TENSA RELACIONES ENTRE EMPLEADOS Y PATRONOS DE ALGUNOS MUNICIPIOS (2015-02-16), La Extra: CONFLICTOS EN 4 MUNIS POR SALARIO ESCOLAR (2015-02-17)"
103,2015-02-16,Heredia,Santa Bárbara,Regional,Reunión con autoridades,NA,Seccional ANEP-Municipalidad de Santa Bárbara y autoridades municipales,Grupos y/u organizaciones de trabajadores y trabajadoras,Del sector público,Cancelar salario escolar adeudado.,Defensa del trabajo y las condiciones laborales,Pago de salarios,Municipalidad de Santa Bárbara,Municipalidad en general,Acuerdo tras negociación,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"En la Municipalidad de Santa Bárbara, trabajadores y trabajadoras municipales amenazan con declarase en paro de labores como medida de presión ante el no-pago del salario escolar. Ante esta situación, cerca de mediodía se entabla una mesa de negociación entre la seccional de la ANEP y autoridades municipales en la que se acuerda presentar la propuesta de salario escolar durante la sesión de Concejo Municipal el día siguiente. Con esto se suspende la amenaza de paro de labores.",La Extra: CONFLICTOS EN 4 MUNIS POR SALARIO ESCOLAR (2015-02-17)
104,2015-02-16,Heredia,Santo Domingo,Regional,Mitin o concentración,NA,Trabajadores y Trabajadoras de la Municipalidad de Santo Domingo,Grupos y/u organizaciones de trabajadores y trabajadoras,Del sector público,Cancelar salario escolar adeudado.,Defensa del trabajo y las condiciones laborales,Pago de salarios,Municipalidad de Santo Domingo,Municipalidad en general,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"En la Municipalidad de Santo Domingo, trabajadores y trabajadoras municipales se concentran durante el Concejo Municipal para demandar el pago del salario escolar.",La Extra: CONFLICTOS EN 4 MUNIS POR SALARIO ESCOLAR (2015-02-17)
105,2015-02-16,San José,Goicoechea,Regional,Mitin o concentración,NA,Trabajadores y Trabajadoras de la Municipalidad de Goicoechea,Grupos y/u organizaciones de trabajadores y trabajadoras,Del sector público,Cancelar salario escolar adeudado.,Defensa del trabajo y las condiciones laborales,Pago de salarios,Municipalidad de Goicoechea,Municipalidad en general,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"En la Municipalidad de Goicoechea, trabajadores y trabajadoras municipales se concentran durante el Concejo Municipal para demandar el pago del salario escolar.",La Extra: CONFLICTOS EN 4 MUNIS POR SALARIO ESCOLAR (2015-02-17)
106,2015-02-17,Heredia,Santa Bárbara,Regional,Declaración pública,Convocatoria,Seccional ANEP-Municipalidad de Santa Bárbara,Grupos y/u organizaciones de trabajadores y trabajadoras,Del sector público,Cancelar salario escolar adeudado.,Defensa del trabajo y las condiciones laborales,Pago de salarios,Municipalidad de Santa Bárbara,Municipalidad en general,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Este día, la seccional ANEP-Municipalidad de Santa Bárbara hace un llamado a las y los trabajadores municipales a participar de un paro de labores desde el siguiente día. Deiby Porras, dirigente sindical de la seccional, señala que la decisión se toma luego de que su organización intentara sostener una reunión con el alcalde municipal la cual fue negada.","CR Hoy: TRABAJADORES DE LA MUNICIPALIDAD DE SANTA BÁRBARA ANUNCIAN PARO MAÑANA (2015-02-17), La Extra: MUNI DE SANTA BÁRBARA A PARO DE LABORES (2015-02-18)"
107,2015-02-17,San José,San José,Regional,Denuncia ante entidades nacionales y/o entidades internacionales,NA,ASEMECA,Grupos y/u organizaciones de empresarios y empresarias,Del sector servicios,Contra el desalojo del Mercado Central de Limón.,Defensa del trabajo y las condiciones laborales,NA,MINSA y Municipalidad de Limón,Ministerios,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"La ASEMECA presenta una demanda ante el Tribunal Contencioso Administrativo, en San José, solicitando se detenga la orden de desalojo del Mercado Central de Limón emitida por el MINSA. Mientras tanto, miembros de la misma asociación señalan la responsabilidad de la Municipalidad de Limón y de su alcalde, Néstor Mattis, pues consideran que es el municipio el que ha incumplido la orden ministerial para desarrollar una serie de mejoras en la infraestructura del mercado.",La Extra: COMERCIANTES DEL MERCADO DE LIMÓN BUSCAN FRENAR DESALOJO (2015-02-18)
108,2015-02-18,San José,San José,No registrada,Denuncia ante entidades nacionales y/o entidades internacionales,NA,SEC,Grupos y/u organizaciones de trabajadores y trabajadoras,Del sector público,Defender la convención colectiva de trabajo.,Defensa del trabajo y las condiciones laborales,Defensa de las convenciones colectivas,"Otto Guevara, diputado del ML",Asamblea Legislativa,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"El SEC, mediante su directorio ejecutivo nacional, presenta ante la Sala Constitucional, su respuesta a una acción de inconstitucionalidad presentada por Otto Guevara, diputado del ML, contra la convención colectiva de trabajo. De acuerdo con Guevara, dicha convención es ilegal pues en la Constitución Política se establece que las relaciones laborales en el gobierno central se rigen con el estatuto del Servicio Civil. El MEP y la PGR han presentado respuestas en la que defienden la convención calificándola como una ""innovación en el modelo de gestión del manejo de recursos económicos y humanos"".",La Extra: SEC PELEA POR CONVENCIÓN COLECTIVA (2015-02-19)
109,2015-02-18,Heredia,Santa Bárbara,Regional,Huelga,NA,Trabajadores y Trabajadoras de la Municipalidad de Santa Bárbara,Grupos y/u organizaciones de trabajadores y trabajadoras,Del sector público,Cancelar salario escolar adeudado.,Defensa del trabajo y las condiciones laborales,Pago de salarios,Municipalidad de Santa Bárbara,Municipalidad en general,No registrado,No registrada o no existencia de alianzas,Particular,No registrado o no existencia,"Inicia el movimiento de huelga convocado por la seccional de la ANEP en la Municipalidad de Santa Bárbara, ante el no pago del salario escolar.",La Extra: SIGUEN HUELGAS POR SALARIO ESCOLAR (2015-02-19)
110,2015-02-19,Guanacaste,Liberia,Regional,Paro,NA,Trabajadoras y Trabajadores del hospital Enrique Baltodano,Grupos y/u organizaciones de trabajadores y trabajadoras,Del sector público,Mejorar las condiciones del hospital de Liberia y cancelar dineros adeudados.,"Mejora y/o defensa en el acceso, calidad y costo de los servicios públicos","Mejora y/o defensa en el acceso, calidad y costo de los servicios de salud y seguridad social",CCSS,Instituciones descentralizadas y/o autónomas,No registrado,No registrada o no existencia de alianzas,General,No registrado o no existencia,"Nuevamente, trabajadores y trabajadoras del hospital Enrique Baltodano de Liberia se declaran en paro de labores ante el incumplimiento de los acuerdos firmados el mes anterior para finalizar un movimiento de huelga. Las demandas son el pago de salarios adeudados y la contratación de personal para el departamento de Recursos Humanos. También reclaman la salida de Seidy Herrera, directora médica de ese centro hospitalario.","CR Hoy: 175 EMPLEADOS DEL HOSPITAL DE LIBERIA PARALIZAN LABORES PARA EXIGIR PAGO DE SALARIOS Y MÁS PERSONAL (2015-02-19), La Extra: EMPLEADOS DEL HOSPITAL DE LIBERIA PROTESTAN (2015-02-20)"
111,2015-02-19,NA,NA,No registrada,Declaración pública,Pronunciamiento,ANEP,Grupos y/u organizaciones de trabajadores y trabajadoras,Del sector público,Cerrar la ARESEP.,Fiscalización de la función pública y rendición de cuentas,Lucha contra la corrupción,Asamblea Legislativa de la Administración Solís Rivera y ARESEP,Asamblea Legislativa,No registrado,No registrada o no existencia de alianzas,General,No registrado o no existencia,"La ANEP, mediante su secretario general, Albino Vargas, solicita a las y los diputados de la Asamblea Legislativa el cierre de la ARESEP. En acuerdo con la denuncia presentada por la Red Solidaria Nacional, la ANEP denuncia que dicha entidad de regulación beneficia los intereses de los empresarios autobuseros en relación con la fijación de las tarifas de autobús, perjudicando el interés de los usuarios.",La Extra: ANEP PIDE A DIPUTADOS CERRAR LA ARESEP (2015-02-20)
